trip_id,arrival_time,departure_time,stop_id,stop_sequence
ET-WE-3,10:26:00,10:26:00,barh,134
ET-WE-3,10:31:00,10:31:00,tibbits,135
ET-WE-3,10:36:00,10:36:00,9th_sage,136
ET-WE-3,10:37:00,10:37:00,west,137
ET-WE-3,10:38:00,10:38:00,sage,138
E-WE-4,10:40:00,10:40:00,union,139
E-WE-4,10:44:00,10:44:00,colonie,140
E-WE-4,10:47:00,10:47:00,brinsmade,141
E-WE-4,10:49:00,10:49:00,sunset,142
E-WE-4,10:51:00,10:51:00,barh,143
E-WE-4,10:55:00,10:55:00,9th_sage,144
E-WE-4,10:56:00,10:56:00,west,145
E-WE-4,10:57:00,10:57:00,sage,146
E-WE-4,11:00:00,11:00:00,union,147
E-WE-5,11:20:00,11:20:00,union,148
E-WE-5,11:24:00,11:24:00,colonie,149
E-WE-5,11:27:00,11:27:00,brinsmade,150
E-WE-5,11:29:00,11:29:00,sunset,151
E-WE-5,11:31:00,11:31:00,barh,152
E-WE-5,11:35:00,11:35:00,9th_sage,153
E-WE-5,11:36:00,11:36:00,west,154
E-WE-5,11:37:00,11:37:00,sage,155
ET-WE-6,11:40:00,11:40:00,union,156
ET-WE-6,11:44:00,11:44:00,colonie,157
ET-WE-6,11:47:00,11:47:00,brinsmade,158
ET-WE-6,11:49:00,11:49:00,sunset,159
ET-WE-6,11:51:00,11:51:00,barh,160
ET-WE-6,11:56:00,11:56:00,tibbits,161
ET-WE-6,12:01:00,12:01:00,9th_sage,162
ET-WE-6,12:02:00,12:02:00,west,163
ET-WE-6,12:03:00,12:03:00,sage,164
E-WE-7,12:05:00,12:05:00,union,165
E-WE-7,12:09:00,12:09:00,colonie,166
E-WE-7,12:12:00,12:12:00,brinsmade,167
E-WE-7,12:14:00,12:14:00,sunset,168
E-WE-7,12:16:00,12:16:00,barh,169
E-WE-7,12:20:00,12:20:00,9th_sage,170
E-WE-7,12:21:00,12:21:00,west,171
E-WE-7,12:22:00,12:22:00,sage,172
ET-WE-8,12:25:00,12:25:00,union,173
ET-WE-8,12:29:00,12:29:00,colonie,174
ET-WE-8,12:32:00,12:32:00,brinsmade,175
ET-WE-8,12:34:00,12:34:00,sunset,176
ET-WE-8,12:36:00,12:36:00,barh,177
ET-WE-8,12:41:00,12:41:00,tibbits,178
ET-WE-8,12:46:00,12:46:00,9th_sage,179
ET-WE-8,12:47:00,12:47:00,west,180
ET-WE-8,12:48:00,12:48:00,sage,181
E-WE-9,12:50:00,12:50:00,union,182
E-WE-9,12:54:00,12:54:00,colonie,183
E-WE-9,12:57:00,12:57:00,brinsmade,184
E-WE-9,12:59:00,12:59:00,sunset,185
E-WE-9,13:01:00,13:01:00,barh,186
E-WE-9,13:05:00,13:05:00,9th_sage,187
E-WE-9,13:06:00,13:06:00,west,188
E-WE-9,13:07:00,13:07:00,sage,189
E-WE-9,13:10:00,13:10:00,union,190
ET-WE-10,13:50:00,13:50:00,union,191
ET-WE-10,13:54:00,13:54:00,colonie,192
ET-WE-10,13:57:00,13:57:00,brinsmade,193
ET-WE-10,13:59:00,13:59:00,sunset,194
ET-WE-10,14:01:00,14:01:00,barh,195
ET-WE-10,14:06:00,14:06:00,tibbits,196
ET-WE-10,14:11:00,14:11:00,9th_sage,197
ET-WE-10,14:12:00,14:12:00,west,198
ET-WE-10,14:13:00,14:13:00,sage,199
E-WE-11,14:15:00,14:15:00,union,200
E-WE-11,14:19:00,14:19:00,colonie,201
E-WE-11,14:22:00,14:22:00,brinsmade,202
E-WE-11,14:24:00,14:24:00,sunset,203
E-WE-11,14:26:00,14:26:00,barh,204
E-WE-11,14:30:00,14:30:00,9th_sage,205
E-WE-11,14:31:00,14:31:00,west,206
E-WE-11,14:32:00,14:32:00,sage,207
E-WE-12,14:35:00,14:35:00,union,208
E-WE-12,14:39:00,14:39:00,colonie,209
E-WE-12,14:42:00,14:42:00,brinsmade,210
E-WE-12,14:44:00,14:44:00,sunset,211
E-WE-12,14:46:00,14:46:00,barh,212
E-WE-12,14:50:00,14:50:00,9th_sage,213
E-WE-12,14:51:00,14:51:00,west,214
E-WE-12,14:53:00,14:53:00,sage,215
ET-WE-13,14:55:00,14:55:00,union,216
ET-WE-13,14:59:00,14:59:00,colonie,217
ET-WE-13,15:02:00,15:02:00,brinsmade,218
ET-WE-13,15:04:00,15:04:00,sunset,219
ET-WE-13,15:06:00,15:06:00,barh,220
ET-WE-13,15:11:00,15:11:00,tibbits,221
ET-WE-13,15:16:00,15:16:00,9th_sage,222
ET-WE-13,15:17:00,15:17:00,west,223
ET-WE-13,15:18:00,15:18:00,sage,224
E-WE-14,15:20:00,15:20:00,union,225
E-WE-14,15:24:00,15:24:00,colonie,226
E-WE-14,15:27:00,15:27:00,brinsmade,227
E-WE-14,15:29:00,15:29:00,sunset,228
E-WE-14,15:31:00,15:31:00,barh,229
E-WE-14,15:35:00,15:35:00,9th_sage,230
E-WE-14,15:36:00,15:36:00,west,231
E-WE-14,15:37:00,15:37:00,sage,232
E-WE-14,15:40:00,15:40:00,union,233
E-WE-15,15:55:00,15:55:00,union,234
E-WE-15,15:59:00,15:59:00,colonie,235
E-WE-15,16:02:00,16:02:00,brinsmade,236
E-WE-15,16:04:00,16:04:00,sunset,237
E-WE-15,16:06:00,16:06:00,barh,238
E-WE-15,16:10:00,16:10:00,9th_sage,239
E-WE-15,16:11:00,16:11:00,west,240
E-WE-15,16:12:00,16:12:00,sage,241
ET-WE-16,16:15:00,16:15:00,union,242
ET-WE-16,16:19:00,16:19:00,colonie,243
ET-WE-16,16:22:00,16:22:00,brinsmade,244
ET-WE-16,16:24:00,16:24:00,sunset,245
ET-WE-16,16:26:00,16:26:00,barh,246
ET-WE-16,16:31:00,16:31:00,tibbits,247
ET-WE-16,16:36:00,16:36:00,9th_sage,248
ET-WE-16,16:37:00,16:37:00,west,249
ET-WE-16,16:38:00,16:38:00,sage,250
E-WE-17,16:40:00,16:40:00,union,251
E-WE-17,16:44:00,16:44:00,colonie,252
E-WE-17,16:47:00,16:47:00,brinsmade,253
E-WE-17,16:49:00,16:49:00,sunset,254
E-WE-17,16:51:00,16:51:00,barh,255
E-WE-17,16:55:00,16:55:00,9th_sage,256
E-WE-17,16:56:00,16:56:00,west,257
E-WE-17,16:57:00,16:57:00,sage,258
E-WE-17,17:00:00,17:00:00,union,259
